trip_id,stop_sequence,arrival_time,timepoint,stop_id,departure_time
1004,3,11:36:00,0,1002,11:36:00
1004,4,11:38:00,0,1003,11:38:00
1004,5,11:40:00,0,1004,11:40:00
1004,6,11:43:00,0,1005,11:43:00
1004,7,11:46:00,0,1006,11:46:00
1004,8,11:48:00,0,1007,11:48:00
1004,9,11:50:00,0,1008,11:50:00
1004,10,11:53:00,0,1009,11:53:00
2004,1,11:00:00,0,2004,11:30:00
2004,2,11:02:00,0,2003,11:02:00
2004,3,11:05:00,0,2002,11:05:00
2004,4,11:08:00,0,2001,11:08:00
2004,5,11:10:00,0,2000,11:10:00
2004,6,11:11:00,0,2005,11:11:00
2004,7,11:13:00,0,2006,11:13:00
2004,8,11:15:00,0,2007,11:15:00
2004,9,11:19:00,0,2008,11:19:00
2004,10,11:22:00,0,2009,11:22:00
1005,1,12:30:00,0,1000,12:30:00
1005,2,12:33:00,0,1001,12:33:00
1005,3,12:36:00,0,1002,12:36:00
1005,4,12:38:00,0,1003,12:38:00
1005,5,12:40:00,0,1004,12:40:00
1005,6,12:43:00,0,1005,12:43:00
1005,7,12:46:00,0,1006,12:46:00
1005,8,12:48:00,0,1007,12:48:00
1005,9,12:50:00,0,1008,12:50:00
1005,10,12:53:00,0,1009,12:53:00
2005,1,12:00:00,0,2004,12:30:00
2005,2,12:02:00,0,2003,12:02:00
2005,3,12:05:00,0,2002,12:05:00
2005,4,12:08:00,0,2001,12:08:00
2005,5,12:10:00,0,2000,12:10:00
2005,6,12:11:00,0,2005,12:11:00
2005,7,12:13:00,0,2006,12:13:00
2005,8,12:15:00,0,2007,12:15:00
2005,9,12:19:00,0,2008,12:19:00
2005,10,12:22:00,0,2009,12:22:00
1006,1,13:30:00,0,1000,13:30:00
1006,2,13:33:00,0,1001,13:33:00
1006,3,13:36:00,0,1002,13:36:00
1006,4,13:38:00,0,1003,13:38:00
1006,5,13:40:00,0,1004,13:40:00
1006,6,13:43:00,0,1005,13:43:00
1006,7,13:46:00,0,1006,13:46:00
1006,8,13:48:00,0,1007,13:48:00
1006,9,13:50:00,0,1008,13:50:00
1006,10,13:53:00,0,1009,13:53:00
2006,1,13:00:00,0,2004,13:30:00
2006,2,13:02:00,0,2003,13:02:00
2006,3,13:05:00,0,2002,13:05:00
2006,4,13:08:00,0,2001,13:08:00
2006,5,13:10:00,0,2000,13:10:00
2006,6,13:11:00,0,2005,13:11:00
2006,7,13:13:00,0,2006,13:13:00
2006,8,13:15:00,0,2007,13:15:00
2006,9,13:19:00,0,2008,13:19:00
2006,10,13:22:00,0,2009,13:22:00
1007,1,14:30:00,0,1000,14:30:00
1007,2,14:33:00,0,1001,14:33:00
1007,3,14:36:00,0,1002,14:36:00
1007,4,14:38:00,0,1003,14:38:00
1007,5,14:40:00,0,1004,14:40:00
1007,6,14:43:00,0,1005,14:43:00
1007,7,14:46:00,0,1006,14:46:00
1007,8,14:48:00,0,1007,14:48:00
1007,9,14:50:00,0,1008,14:50:00
1007,10,14:53:00,0,1009,14:53:00
2007,1,14:00:00,0,2004,14:30:00
2007,2,14:02:00,0,2003,14:02:00
2007,3,14:05:00,0,2002,14:05:00
2007,4,14:08:00,0,2001,14:08:00
2007,5,14:10:00,0,2000,14:10:00
2007,6,14:11:00,0,2005,14:11:00
2007,7,14:13:00,0,2006,14:13:00
2007,8,14:15:00,0,2007,14:15:00
2007,9,14:19:00,0,2008,14:19:00
2007,10,14:22:00,0,2009,14:22:00
1008,1,15:30:00,0,1000,15:30:00
1008,2,15:33:00,0,1001,15:33:00
1008,3,15:36:00,0,1002,15:36:00
1008,4,15:38:00,0,1003,15:38:00
1008,5,15:40:00,0,1004,15:40:00
1008,6,15:43:00,0,1005,15:43:00
1008,7,15:46:00,0,1006,15:46:00
1008,8,15:48:00,0,1007,15:48:00
1008,9,15:50:00,0,1008,15:50:00
1008,10,15:53:00,0,1009,15:53:00
2008,1,15:00:00,0,2004,15:30:00
2008,2,15:02:00,0,2003,15:02:00
2008,3,15:05:00,0,2002,15:05:00
2008,4,15:08:00,0,2001,15:08:00
2008,5,15:10:00,0,2000,15:10:00
2008,6,15:11:00,0,2005,15:11:00
2008,7,15:13:00,0,2006,15:13:00
2008,8,15:15:00,0,2007,15:15:00
2008,9,15:19:00,0,2008,15:19:00
2008,10,15:22:00,0,2009,15:22:00
1009,1,16:30:00,0,1000,16:30:00
1009,2,16:33:00,0,1001,16:33:00
1009,3,16:36:00,0,1002,16:36:00
1009,4,16:38:00,0,1003,16:38:00
1009,5,16:40:00,0,1004,16:40:00
1009,6,16:43:00,0,1005,16:43:00
1009,7,16:46:00,0,1006,16:46:00
1009,8,16:48:00,0,1007,16:48:00
1009,9,16:50:00,0,1008,16:50:00
1009,10,16:53:00,0,1009,16:53:00
2009,1,16:00:00,0,2004,16:30:00
2009,2,16:02:00,0,2003,16:02:00
2009,3,16:05:00,0,2002,16:05:00
2009,4,16:08:00,0,2001,16:08:00
2009,5,16:10:00,0,2000,16:10:00
2009,6,16:11:00,0,2005,16:11:00
2009,7,16:13:00,0,2006,16:13:00
2009,8,16:15:00,0,2007,16:15:00
2009,9,16:19:00,0,2008,16:19:00
2009,10,16:22:00,0,2009,16:22:00
1010,1,17:30:00,0,1000,17:30:00
1010,2,17:33:00,0,1001,17:33:00
1010,3,17:36:00,0,1002,17:36:00
1010,4,17:38:00,0,1003,17:38:00
1010,5,17:40:00,0,1004,17:40:00
1010,6,17:43:00,0,1005,17:43:00
1010,7,17:46:00,0,1006,17:46:00
1010,8,17:48:00,0,1007,17:48:00
1010,9,17:50:00,0,1008,17:50:00
1010,10,17:53:00,0,1009,17:53:00
2010,1,17:00:00,0,2004,17:30:00
2010,2,17:02:00,0,2003,17:02:00
2010,3,17:05:00,0,2002,17:05:00
2010,4,17:08:00,0,2001,17:08:00
2010,5,17:10:00,0,2000,17:10:00
2010,6,17:11:00,0,2005,17:11:00
2010,7,17:13:00,0,2006,17:13:00
2010,8,17:15:00,0,2007,17:15:00
2010,9,17:19:00,0,2008,17:19:00
2010,10,17:22:00,0,2009,17:22:00
1011,1,18:30:00,0,1000,18:30:00
1011,2,18:33:00,0,1001,18:33:00
1011,3,18:36:00,0,1002,18:36:00
1011,4,18:38:00,0,1003,18:38:00
1011,5,18:40:00,0,1004,18:40:00
1011,6,18:43:00,0,1005,18:43:00
1011,7,18:46:00,0,1006,18:46:00
1011,8,18:48:00,0,1007,18:48:00
1011,9,18:50:00,0,1008,18:50:00
1011,10,18:53:00,0,1009,18:53:00
2011,1,18:00:00,0,2004,18:30:00
2011,2,18:02:00,0,2003,18:02:00
2011,3,18:05:00,0,2002,18:05:00
2011,4,18:08:00,0,2001,18:08:00
2011,5,18:10:00,0,2000,18:10:00
2011,6,18:11:00,0,2005,18:11:00
2011,7,18:13:00,0,2006,18:13:00
2011,8,18:15:00,0,2007,18:15:00
2011,9,18:19:00,0,2008,18:19:00
2011,10,18:22:00,0,2009,18:22:00
