route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
56,TDRA,124,L124 St-Sulpice < > Royan - Dunant,,3,,B17C14,FFFFFF
57,TDRA,125,L125 St-Sulpice < > Royan - Dunant,,3,,B0BC00,FFFFFF
58,TDRA,126,L126 Mornac > Royan - Dunant,,3,,F6AA41,FFFFFF
59,TDRA,127,L127 Royan - Cordouan < > Royan - Dunant,,3,,EC7404,FFFFFF
60,TDRA,131,L131 St-Palais-sur-Mer > Royan - Dunant,,3,,D40032,FFFFFF
61,TDRA,140,L140 Royan - Dunant > Vaux-sur-Mer,,3,,D85017,FFFFFF
62,TDRA,141,L141 Royan - Dunant > St-Palais-sur-Mer,,3,,D40032,FFFFFF
63,TDRA,142,L142 Royan - Dunant > St-Sulpice-de-Royan,,3,,B0BC00,FFFFFF
64,TDRA,143,L143 Royan - Dunant > St-Sulpice-de-Royan,,3,,F6AA41,FFFFFF
103,TDRA,31,L31 Royan < > La Palmyre ,,3,,BC7419,FFFFFF
104,TDRA,TRE7,TREMB 7 Ecole La Sabliere,,3,,333399,FFFFFF
113,TDRA,116,L116 Royan - CES Zola > Meschers ,,3,,857639,FFFFFF
124,TDRA,32,L32 Royan < > Talmont,,3,,00957E,FFFFFF
126,TDRA,13,L13 Royan < > Vaux-sur-mer,,3,,162983,FFFFFF
128,TDRA,41,L41 SUR RESERVATION,,3,,BFD630,000000
132,TDRA,500, Navettes de desserte de tous Collèges et Lycées de Royan,,3,,7A6EAC,FFFFFF
133,TDRA,10,L10  Medis Aerodrome < > Val Lumière,,3,,E2001A,FFFFFF
134,TDRA,14,L14 Lycée Cordouan < > La Perche,,3,,FFEC00,000000
158,TDRA,117,L117 St-Sulpice-de-Royan < > Royan - Zola,,3,,F2B700,FFFFFF
161,TDRA,42,L42 SUR RESERVATION,,3,,E62F8E,FFFFFF
172,TDRA,15,L15 Saujon Hopiteau < > Gare SNCF,,3,,FCC000,000000
184,TDRA,TRE8,TREMB 8 Doublage aller,,3,,CC99FF,FFFFFF
185,TDRA,180,L180 Medis < > Saujon,,3,,000000,FFFFFF
186,TDRA,181,L181 L Eguille < > Saujon,,3,,000000,FFFFFF
187,TDRA,182,L182 Sablonceaux < > Saujon,,3,,000000,FFFFFF
188,TDRA,183,L183 Sablonceaux < > Saujon,,3,,000000,FFFFFF
189,TDRA,184,L184 St Romain de Benet < > Saujon,,3,,000000,FFFFFF
190,TDRA,185,L185 Le Chay < > Saujon,,3,,000000,FFFFFF
191,TDRA,112ex,L112 Ext Mortagne < > St Seurin Port,,3,,F19FC1,000000
192,TDRA,160,L160 St Augustin < > Bourcefranc,,3,,000000,FFFFFF
193,TDRA,161,L161 Les Mathes < > Bourcefranc,,3,,000000,FFFFFF
194,TDRA,162,L162 Chaillevette < > Bourcefranc,,3,,000000,FFFFFF
195,TDRA,190,L190 Saujon < > Royan - Cordouan,,3,,000000,FFFFFF
196,TDRA,191,L191 Saujon > Sablonceaux,,3,,000000,FFFFFF
197,TDRA,192,L192 Saujon > St Romain de Benet,,3,,000000,FFFFFF
198,TDRA,COZ7,Cozes 7 - Corme Ecluse < > Cozes,,3,,000000,FFFFFF
199,TDRA,186,L186 Saujon college < > Saujon Jeanne d Arc,,3,,000000,FFFFFF
